Chicago Citation,Abstract,First Author Institution,Other Author Institutions
"Etheredge, Lloyd S.. ""Wisdom and Good Judgment in Politics"". Political Psychology 13, no. 3 (1992)","The job of the political leader requires, in the view of classical writers, unique sensibilities to assure good political judgment and wisdom. Two characteristics that may define a sui generis nature of political decision-making include tasks of: 1) Responding to emotional demands of mass publics; 2) Dealing with amoral and unusually ambitious people. In addition, the study of political judgment involves two further issues unique to politics: 3) Working with people who think in ideological schema; and 4) Institutional settings designed to shape outcomes of decisions. Classic political theorists have often recommended antithetical decision algorithms as a basis for good political judgment. Two major disagreements concern the alleged Darwinian advantage of amoral Machiavellian decision algorithms and structural realist perceptions of international politics. Current research suggests Machiavellian and structural realist theories are misleading and rationalize behavior that is both more dangerous and irrational, and more hopeful, than they portray.",University of Toronto,[]
"Tetlock, Philip E.. ""Good Judgment in International Politics: Three Psychological Perspectives"". Political Psychology 13, no. 3 (1992)","This article explores three distinct psychological perspectives on good judgment in international politics. Advocates of one perspective (skeptics) argue that good judgment is extremely rare. The international political scene is so unpredictable that most people are inevitably wrong most of the time. Moreover, the skeptics argue that when prognosticators are right, their ""hits"" are largely the product of either luck or prudent use of probability theory. Advocates of the second perspective (complexifiers) argue that good judgment is closely linked to the ability to transcend common cognitive biases and errors that vitiate most intuitive predictions. Prognosticators who think in self-critical and integratively complex ways are less likely to accept facile historical analogies, to jump to conclusions from fragmentary evidence, to persevere with first impressions despite contradictory evidence, and to fall prey to overconfidence and certainty-of-hindsight effects. Advocates of the third perspective (simplifiers or fundamentalists) argue that good judgment is closely linked to the ability to focus on a few basic processes (rational responses to economic, technological, and geopolitical trends) and to ignore short-term distractions. Drawing on the results of a preliminary study of experts' forecasts in three policy domains (the future of American-Soviet relations and of the Soviet Union itself, South Africa, and the Gulf crisis), I argue that each perspective has components of validity and that the research challenge is to identify the conditions under which each is most useful.","University of California, Berkeley",['University of California']
"Levy, Jack S.. ""An Introduction to Prospect Theory"". Political Psychology 13, no. 2 (1992)",Prospect theory has emerged as a leading alternative to expected utility as a theory of decision under risk and has very recently begun to attract attention in the literature on international relations. The theory is best known for its hypothesis that individuals are risk-averse with respect to gains and risk-acceptant with respect to losses and for its emphasis on the importance of the actor's framing of decisions around a reference point. I begin this essay with a brief summary of expected utility theory and of some of the apparent empirical anomalies in the theory. I then show how prospect theory integrates these descriptive patterns into an alternative theory of risky choice. I discuss both the framing of decisions and the evaluation of prospects in terms of a value function and a probability weighting function.,Affiliation not found,[]
"Jervis, Robert. ""Political Implications of Loss Aversion"". Political Psychology 13, no. 2 (1992)","Prospect theory offers powerful insights and propositions into political decision-making, especially in international politics. Evidence indicates that statesmen are indeed risk-acceptant for losses. This would help explain observed patterns in bargaining, deterrence, the origins of wars, as well as suggesting why states are less likely to behave aggressively when doing so would produce gains than when such behavior might prevent losses.",Columbia University,[]
"Farnham, Barbara. ""Roosevelt and the Munich Crisis: Insights from Prospect Theory"". Political Psychology 13, no. 2 (1992)","The use of prospect theory to explain political decision-making challenges the claim of rational choice theory to provide a more convincing account of this behavior. Because President Roosevelt's decision-making during the Munich crisis manifests a number of phenomena associated with prospect theory, including a change in the decision frame and corresponding preference reversal, risk acceptance to avoid loss, and the operation of certainty effects, it affords an opportunity to view these competing claims in the light of an actual historical case. An analysis of Roosevelt's decision-making behavior during the crisis shows that prospect theory does in fact explain it more satisfactorily than does the theory of rational choice. In addition, the analysis suggests that affect may sometimes play a role in causing decision frames to change and raises questions about Janis and Mann's account of the impact of stress on decision-making.",Columbia University,[]
"McDermott, Rose. ""Prospect Theory in International Relations: The Iranian Hostage Rescue Mission"". Political Psychology 13, no. 2 (1992)","This article uses prospect theory, a descriptive theory of decision-making under risk, to examine the failed rescue mission of the American hostages in Iran in April 1980. The argument is that President Carter was in a domain of losses both internationally and domestically at the time of the crisis. In this context, loss aversion predisposed him to take military risks to secure the release of the hostages that he would not ordinarily have been willing to pursue. This article also discusses the relationship between political and military risk in the options that were considered at the time.",Affiliation not found,[]
"McInerney, Audrey. ""Prospect Theory and Soviet Policy Towards Syria, 1966-1967"". Political Psychology 13, no. 2 (1992)","This paper first describes and analyzes Soviet behavior toward its Arab clients, especially Syria, in 1966 and 1967. It then shows that the Soviet leadership was risk-acceptant in order to avert the loss of the incumbent Syrian regime. Finally, the paper argues that the Soviets defined the status quo in the Middle East as including a socialist-oriented Syria aligned with the Soviet Union against the West and against China in the socialist and national-liberation movements.",Columbia University,[]
"Levy, Jack S.. ""Prospect Theory and International Relations: Theoretical Applications and Analytical Problems"". Political Psychology 13, no. 2 (1992)","In this essay I evaluate the potential contribution of prospect theory to our understanding of international relations. I begin with the implications of loss aversion, the endowment effect, risk orientation, and framing for theoretical questions relating to the stability of the status quo in international politics, deterrence, bargaining, and preventive war. I then raise conceptual and methodological problems which complicate the theoretical and empirical application of prospect theory to international behavior. I illustrate my arguments with references to some recent attempts to use a prospect theory framework to guide case studies of crises decision-making. I conclude that in applying prospect theory to empirical cases, the analyst must demonstrate not only that empirical behavior is consistent with the theory but also that the observed behavior cannot adequately be explained by a rational choice model which posits the maximization of expected value.",Affiliation not found,[]
"Shafir, Eldar. ""Prospect Theory and Political Analysis: A Psychological Perspective"". Political Psychology 13, no. 2 (1992)","Certain difficulties from the point of view of psychological theorizing arise from the application of prospect theory to the analysis of political events. A number of issues, ranging from probability estimation and risk attitudes to the endowment effect and loss aversion, are discussed as they relate to the decision-maker, his or her current position, the values of outcomes, and their probabilities.",Princeton University,[]
"Farnham, Barbara. ""Conclusion"". Political Psychology 13, no. 2 (1992)","This collection of articles offers a number of ideas for advancing the effort to use prospect theory to enrich political analysis. Having thoroughly aired the analytical and methodological problems involved in such an endeavor, the authors retain considerable optimism about the ultimate prospects for success, and suggest an outline for future collaboration between political scientists and psychologists in a joint research program to explore the issues raised in this symposium. By showing the advantage of defining the interdisciplinary character of such undertakings as broadly as possible, moreover, this collection of papers has itself contributed to the discussion. The wide variety of theoretical insights which have emerged from the project is a direct consequence of both the inclusion of empirical case studies and the decision to solicit the contributions of scholars from psychology as well as from political science.",Columbia University,[]
"Schatz, Robert T., Susan T. Fiske. ""International Reactions to the Threat of Nuclear War: The Rise and Fall of Concern in the Eighties"". Political Psychology 13, no. 1 (1992)","The threat of nuclear war was a substantial concern during the 1980s, not just in the United States but in Europe and the Soviet Union as well. This article reviews poll data and psychological literature investigating reactions to the nuclear threat in these three areas of the world. It documents the trends in likelihood estimates, concern, and policy preferences during the last decade and examines factors that may account for these trends. The reactions of the different nations are compared. While people's reactions to the nuclear threat differed across nations, these reactions displayed a similar pattern over time, peaking in the first half of the 1980s and subsequently declining. Also discussed are methodological issues, the potential of psychology to effect political change, and the possible future rise in concern about nuclear war.",University of Massachusetts at Amherst,['University of Massachusetts']
"Pancer, S. Mark, Bruce Hunsberger, Michael W. Pratt, Sylvie Boisvert, Don Roth. ""Political Roles and the Complexity of Political Rhetoric"". Political Psychology 13, no. 1 (1992)","This research examined the complexity of political rhetoric of politicians in a policy-making and opposition role. Speeches by members of the government and opposition parties in the Canadian House of Commons from 1948 to 1988 were scored in terms of their ""integrative complexity,"" following the methods of Suedfeld and Tetlock (see Baker-Brown et al., 1986). Integratively complex communications are characterized by a recognition that more than one perspective on an issue can be valid and that the different perspectives can be integrated or related to one another in some manner. Results indicated that individuals in a policy-making role (government members) made speeches that were more complex than those made by individuals in an opposition role. However, when the governing party did not have a majority in the House of Commons, necessitating greater sharing of the policy-making role by government and opposition parties, the complexity of speeches by members of both parties tended to increase. In addition, the complexity of government and opposition rhetoric was related to how much time had passed since the last election. The complexity of government members' rhetoric increased over this period, while the complexity of the opposition's rhetoric declined. Results are discussed in relation to the differential accountability of those in a policy-making and opposition role.","Sylvie Boisvert,' and Don Roth'",[]
"Liu, Alan P. L.. ""Symbols and Repression at Tiananmen Square, April-June 1989"". Political Psychology 13, no. 1 (1992)","The Chinese leaders' decision to repress the protest at Tiananmen Square in April-June 1989 is analyzed through their symbolic definition of the protest. Variables that influenced Chinese leaders' symbolization processes included disarray in structure of formal symbols, revolutionary tradition, remoteness from social development, and internal dissension. Both calculative (strategic) and affective considerations were stressed.","University of California, Santa Barbara",['University of California']
"Steel, Brent S., Rebecca L. Warner, Nicholas P. Lovrich, John C. Pierce. ""The Inglehart-Flanagan Debate over Postmaterialist Values: Some Evidence from a Canadian-American Case Study"". Political Psychology 13, no. 1 (1992)",This paper presents empirical evidence regarding the disagreement between Ronald Inglehart and Scott Flanagan over the proper conceptualization and measurement of postindustrial values. The empirical findings are derived from a study of two comparable but distinct postindustrial populations. Data utilized to investigate this controversy were gathered by means of mail surveys conducted simultaneously in metropolitan Toronto and Detroit in 1988. Both Inglehart's and Flanagan's value indicators were incorporated in the field instrument. Findings support Flanagan's contention that Inglehart's postmaterial value measure obscures the multidimensional nature of value change in advanced industrial society. The data also support Flanagan and other critics of Inglehart who suggest that postindustrial society may generate both libertarian and authoritarian value orientations.,John C. Pierce2,[]
"Nesbitt-Larking, Paul. ""Methodological Notes on the Study of Political Culture"". Political Psychology 13, no. 1 (1992)","Defining political cultures as those discursive practices associated with the power-related facets of evolving human relations and social movements, the paper presents some methodological principles, inspired by the structurationist approach, to overcome existing impasses in political culture research. In general, it is argued that empirical research in political culture must integrate theoretical, ethical, and practical concerns. More specifically, the case is made for greater depth in the treatment of the individual and consciousness in the process of cultural production, for an extension of empirical investigations beyond the legal-institutional aspects of politics, for a more thorough exploration of the relationship between social scientific and lay understandings, and for a more sophisticated treatment of time and space in political cultural analysis.",Brock University,[]
"Furth, Hans G.. ""Psychoanalysis and Social Thought: The Endogenous Origin of Society"". Political Psychology 13, no. 1 (1992)","A recent book by Frosh on the relation of psychoanalysis to social-political thought is reviewed, and the book's paradoxical conclusion is noted, namely, that those psychoanalytic schools explicitly intent on the primacy of the ego and of interpersonal object relations seem less relevant to the political dimension than those stressing the primacy of instinctual drives, which are yet presented as incompatible with cultural socialization. Following, an attempt is made to propose an approach to socialization that could overcome the logical anomalies inherent in current psychoanalytic thinking concerning socialization. It is suggested that society should not be treated as something merely outside the person that somehow has to be learned, nor as something genetically present in the form of a social instinct or an innate collective mentality. Rather, if human psychology is conceived as evolutionarily selected for constructing a societal world, the necessary connection between the human individual and society can be made without resorting to an outside imposition, at the same time as full recognition is given to the constitutive but largely unconscious aspects of social institutions.",Affiliation not found,[]
"Greenstein, Fred I.. ""Can Personality and Politics Be Studied Systematically?"". Political Psychology 13, no. 1 (1992)","The study of personality and politics is possible and desirable, but systematic intellectual progress is possible only if there is careful attention to problems of evidence, inference, and conceptualization. This essay reviews such problems, setting forth a conceptualization that takes account of, and builds on, many of the recurring reservations that are advanced about the utility of studying the personalities of political actors. In doing do, it takes selective account of the classical literature on political psychology and more recent developments in the field.",Princeton University,[]
"Gastil, John, Virginia Sapiro. ""Theory Development in Political Psychology or, the Play's the Thing"". Political Psychology 13, no. 1 (1992)",A student of political psychology assesses the roots (and flowers) of the field of political psychology.,University of Wisconsin,[]
"Boehnke, Klaus. ""The Status of Psychological Peace Research in East and West Germany in a Time of Change"". Political Psychology 13, no. 1 (1992)","The historic lines of development of psychological peace research (PPR) in West and East Germany from the fifties to the present are briefly outlined. In the '50s peace research was closely tied to ideology in both German states. From the late '60s to the late '70s these ties loosened. In West Germany peace research flourished somewhat, but psychological peace research continued to lead a shadowy existence. In East Germany psychological phenomena in politics became of interest, but an autonomous PPR did not yet exist. In the early '80s, activities of the peace movement sparked PPR in both Germanies. Since unification, PPR in Germany has had two central objectives, namely, the psychological analysis of global crises in general, and the study of enemy images in the framework of psychological conversion research, but these foci may shift as a result of the Gulf War.",Affiliation not found,[]
"Wilkins, Lee. ""Madison and Jefferson: The Making of a Friendship"". Political Psychology 12, no. 4 (1991)","The 50-year friendship between James Madison and Thomas Jefferson illustrates the development of an adult friendship. That friendship is also evocative of some of the leadership qualities the two men brought to the founding era. Madison and Jefferson became friends because each needed an intellectual compatriot in the political arena to replace a lost relationship. However, their initial relationship was more a mentor-student relationship rather than an egalitarian partnership. As illustrated through their letters, the friendship itself grew and deepened until Madison and Jefferson had their first and only serious intellectual break over the inclusion of a bill of rights in the proposed constitution. The friendship that emerged after this break was one of equality.",University of Missouri,[]
"Arnett, Jeffery. ""Winston Churchill, the Quintessential Sensation Seeker"". Political Psychology 12, no. 4 (1991)","Winston Churchill's personality is considered in light of the psychological trait known as sensation seeking. Sensation seeking is a trait conceptualized by Zuckerman (1983) as the degree of an individual's capacity and desire for variety, novelty, and intensity of experience. Examples are provided from each stage of Churchill's life indicating that the pursuit of and pleasure in high sensation was a powerful influence on what he experienced and how he reacted to events. The interaction between Churchill's biologically based propensity for sensation seeking and the quality of his early environment is discussed.",Affiliation not found,[]
"Gibson, Martha Liebler. ""Public Goods, Alienation, and Political Protest: The Sanctuary Movement as a Test of the Public Goods Model of Collective Rebellious Behavior"". Political Psychology 12, no. 4 (1991)","This study refutes an underlying assumption of many analyses of political protest: the ""fundamental alienation"" of protesters from the governmental system and political institutions of their country. Using the Sanctuary Movement as a case study, this research tests a recent modification of rational choice theory of collective action. While many of the findings support those of the Public Goods Model of Rebellious Collective Behavior (Muller and Opp, 1986), they contradict its basic assumption: that protesters are politically alienated. Overall this study contributes to the expanding literature concerning perceptions of the legitimate repertoire of action available to a democratic citizenry.",Affiliation not found,[]
"Steinberg, Blema S.. ""Shame and Humiliation in the Cuban Missile Crisis: A Psychoanalytic Perspective"". Political Psychology 12, no. 4 (1991)","This paper examines the major explanations for deterrence failure and proposes an additional explanatory variable drawn from psychoanalytic theory-the experience of shame and humiliation by foreign policy leaders. Decision-makers who have undergone such experiences may be inclined to challenge the status quo, in order to restore their sense of self-esteem, even when such behavior violates the precepts of rational deterrence theory. The foreign policy behavior of Nikita Khruschev and John F. Kennedy, during the Cuban missile crisis, is examined in detail to demonstrate the way in which feelings of shame and humiliation are frequently followed by narcissistic rage that expresses itself in acts of aggression in an attempt to alleviate those painful affects and increase feelings of self-worth. The evidence suggests that placing foreign policy leaders in positions of humiliation may stimulate their desire for revenge, invite retaliatory behavior, and, particularly in times of crisis, run the risk of all-out war.",McGill University,[]
"Sidanius, Jim, Felicia Pratto, Michael Martin, Lisa M. Stallworth. ""Consensual Racism and Career Track: Some Implications of Social Dominance Theory"". Political Psychology 12, no. 4 (1991)","The study tested some implications of social dominance theory by examining the relationship between consensual racial attitudes and career choice among 5655 American undergraduate and graduate students. Consensual racial attitudes were defined and operationalized as that portion of racial attitude space which different ethnic groups share in common. The specific hypotheses were largely confirmed and showed that: (a) Those students preparing for careers within the ""power"" professions (i.e., business and law) were generally found to have higher levels of consensual racism than students in other areas; (b) the level of consensual racism of students preparing for ""power"" careers showed the smallest decrease as a function of exposure to university education; (c) use of structural equation analysis disclosed that consensual racial attitudes made significant contributions to choice of academic track even after considering the effects of political ideology. The implications for college as a liberalizing experience and for efforts to reduce discrimination by hegemonic institutions are discussed.",University of California,[]
"Belkin, Aaron, James G. Blight. ""Triangular Mutual Security: Why the Cuban Missile Crisis Matters in a World beyond the Cold War"". Political Psychology 12, no. 4 (1991)","We argue that as the superpowers move closer together, they need to ensure that security concerns of Third World states are taken into account. Otherwise, Moscow and Washington may face risks to their own security. This imperative applies especially to times of crisis, when deals struck at the superpower level may exacerbate fears of states who see their security being bargained away, thus leading to dangerous reactions. We illustrate our argument by retelling the classic tale of the Cuban missile crisis. Our account, however, is triangular, because in addition to American and Soviet perceptions, the Cuban perspective is a focus of our analysis. Finally, we derive triangular lessons of the missile crisis using the theory of mutual security.",Brown University,[]
"Montiel, Cristina Jayme, Victoria Marie Chiongbian. ""Political Psychology in the Philippines"". Political Psychology 12, no. 4 (1991)","This paper describes researches in Filipino political psychology. Presentation of the literature is organized chronologically by major political events that mark the demise of one political season and the birth of another. The political backdrop includes nationalist movements, student protests, martial law, Senator Benigno Aquino's assassination, and the EDSA Revolution's success. Research interests cover topics like kinship, socialization, conflict, transition, and public opinion surveys. The article ends by looking at possibilities for future research in political psychology in the Philippines.",Ateneo de Manila University,[]
"Davies, James Chowning. ""Maslow and Theory of Political Development: Getting to Fundamentals"". Political Psychology 12, no. 3 (1991)","To understand fundamental causes of political development, we need to frankly and explicitly include and evaluate innate organic forces in humans. These forces help to generate and give direction to development, whether peaceful or violent. I suggest that, in addition to the desire to survive, which mankind share with all forms of life, there are innate metasurvival needs-notably dignity and power. These become active when survival is assured and when minimally solidary communities have been established. They then help determine the direction in which political institutions evolve.",University of Oregon,[]
"Bryder, Tom. ""Generalized Social Attitudes and Perceptions of Youth Unemployment Policy-Making: A Cross-Cultural Comparison of Adolescents in Denmark, Finland, Norway, and Sweden"". Political Psychology 12, no. 3 (1991)","This essay attempts to describe, and to some extent analyze, various relationships between certain general social attitudes on the one hand, and more specific, policy-relevant attitudes among Nordic adolescents, on the other. The specific target around which the more specific policy attitudes are measured is policy making in the area of youth unemployment. The report is an empirical pilot study. It is part of a larger research project called Adolescence, Public Policy Impacts, and Involvement in Public Affairs (for details, cf. Bryder, 1982). The same items were used in translated versions with all the subsamples. In the political sphere, generalized attitude syndromes seem to differ cross-culturally. Finland and Denmark, on the one hand, and Norway and Sweden, on the other, seem to exhibit similar patterns. The Finns and Danes are more self-reliant, less respectful and expectant of authorities than the Swedes and Norwegians. There is, however, no evidence in the questionnaire itself that could explain whether this is a result of different socialization patterns or whether we ought to attribute these differences to dissimilarities in the levels of welfare.",Affiliation not found,[]
"Winter, David G., Margaret G. Hermann, Walter Weintraub, Stephen G. Walker. ""The Personalities of Bush and Gorbachev at a Distance: Follow-Up on Predictions"". Political Psychology 12, no. 3 (1991)","We discuss the Persian Gulf War and the interlocking developments of nationalism, repression, and increased conservatism in the Soviet Union from the perspective of our previous published at-a-distance personality assessments of George Bush and Mikhail Gorbachev. Such assessments, we suggest, can furnish predictions that are propositional (""if/then"") but not absolute.",Stephen G. Walker4,[]
"Pye, Lucian W.. ""Political Culture Revisited"". Political Psychology 12, no. 3 (1991)","Although culture is one of the most powerful concepts in the social sciences, the discipline of political science was slow to exploit it in spite of its obvious relevance for many basic concerns in the discipline, such as legitimacy, tradition, constitutional norms, and basic national values. However, once the concept was accepted in the 1950s there was a decade of intense interest in cultural analysis during which leading figures in all the social sciences engaged in bold theory-building. For various reasons interest in political culture declined in the 1970s, but recently there has been a revival of work on political culture. A review of the early history may be helpful in ensuring that the revival will proceed on a solid basis.",Massachusetts Institute of Technology,[]
"Dutter, Lee E.. ""The Seventy-Five Years' War, 1914-1989: Some Observations on the Psychology of American Foreign Policy-Making during the 20th Century"". Political Psychology 12, no. 3 (1991)","Several developments during the 1980s, especially events in 1989, suggest not only that we have reached the end of an era, but also that the 20th century of international relations may be over. If this proposition is accepted, or at least entertained, then four questions of special pertinence to American foreign policy are immediately relevant: What ""paradigm"" has guided American foreign-policy-makers during the 20th century? What are the likely characteristics of the new international environment which is now emerging and what factors are likely to shape it in the 21st century? How, if at all, should the American foreign policy-making paradigm be modified to deal effectively with this new environment and these factors? How might these changes be effected? This paper takes a first cut at question one. In this context, a policy-making paradigm has four major components: a ""perceptual prism,"" or belief system, based on historical and current experience; a set of goals or objectives, which can be subdivided into the categories of fundamental and instrumental; a set of rules or guidelines for operational policymaking; and a set of model problems and their solutions, which not only help in the development of present and future policy, but also in the socialization of new individuals into the paradigm. Each of these components is examined in some detail, thus setting the stage for addressing the remaining questions in subsequent research.",Boston University,[]
"Funk, Carolyn L., David O. Sears. ""Are We Reaching Undergraduates? A Survey of Course Offerings in Political Psychology"". Political Psychology 12, no. 3 (1991)","This paper assesses the progress of political psychology as a distinct field in U.S. educational institutions as indexed by course offerings for undergraduates in the area. Using a mail questionnaire to faculty with interests in political psychology, we identified 100 courses from 78 different institutions across the United States and Canada which can be broadly defined as political psychology. About half of these courses are given at least yearly. In total, political psychology is taught to approximately 2300 undergraduates each year. About half of these courses are explicitly labeled as ""political psychology""; in them, the dominant tendency is to cover, at least in some measure, most of the major topics of the field. The majority of courses are being offered by political science departments; a minority are offered by psychology departments. Steady growth in the number of undergraduate courses in political psychology has occurred since the early 1970s and continues today.",Affiliation not found,[]
"Waddell, Neil, Ed Cairns. ""Identity Preference in Northern Ireland"". Political Psychology 12, no. 2 (1991)","Sociopolitical identity is seen by many as the key to understanding the conflict in Northern Ireland and for this reason has been the subject of several major surveys. However, these surveys can be criticized because they have not employed techniques that properly allow for comparisons between the various possible identities. The present study overcame this criticism by making use of a paired-comparison technique which allowed the four identities-British, Irish, Ulster, and Northern Irish-to be presented to all respondents. The results suggested that as expected there was polarization across all identities between Catholics and Protestants and further that within these two groups the rank order of the various identities also differed. In particular, the term ""Northern Irish"" was seen as closely related to the term ""Irish"" by Catholics but as virtually synonymous with the term ""British"" by Protestants.",University of Ulster,[]
"Winter, David G., Margaret G. Hermann, Walter Weintraub, Stephen G. Walker. ""The Personalities of Bush and Gorbachev Measured at a Distance: Procedures, Portraits, and Policy"". Political Psychology 12, no. 2 (1991)","We assessed the personalities of George Bush and Mikhail Gorbachev at a distance, using methods and materials developed by each of the authors for measuring motives, cognitions, and traits. We discuss methodological and procedural issues. Results are presented in terms of quantitative scores, expressed in comparison with other political leaders. The integrated personality portraits developed for each leader are discussed in relation to popular and media impressions of that leader. We conclude with some predictions and suggestions about policy implications, including ways of facilitating direct negotiations between Bush and Gorbachev.",Stephen G. Walker4,[]
"White, Ralph K.. ""Empathizing with Saddam Hussein"". Political Psychology 12, no. 2 (1991)","Ten elements in the methodology of realistic empathy are considered, including the chessplayer's type of empathy and taking into account the other's expectable misperceptions, one's own expectable misperceptions, and the other's cultural background. A somewhat systematic cognitive map of Saddam's political world is then attempted. Somewhat surprisingly, his basic motives include much genuine fear, especially fear that, without strength and toughness on his part, Iraq will fall apart and Syria and Iran will pick up the pieces. They also include intense needs for power as such, for economic recovery, and for keeping his recently acquired reputation, in Arab eyes, as the great, tough champion of all Arabs in their struggle against Israel, the United States, and the greedy, corrupt, spineless rulers of the Gulf states. Present perceived paths to those goals include nonprovocation, waiting for new Arab allies and for greater disunity in the non-Arab world, and a ruthless, all-out attack if attacked or about to be attacked. Implications for negotiation are considered.",Affiliation not found,[]
"Schonsee, Reinhart, Gerda Lederer. ""The Gentle Revolution"". Political Psychology 12, no. 2 (1991)","In the totalitarian structure of the GDR, the political system, the sociocultural system, and the economic system formed completely disparate entities, each with its own code of behavior. This deforming socialization failed to produce a synthesis of the social identity of the individual. Instead, unintegrated role sets existed side by side and individuals switched from one role to the other (collective schizophrenia). The initial goal of the revolution was the regaining of the basic right of true free speech, of the freedom of discussion within and between the boundaries of the various GDR systems. However, in a search for leadership, the German historical tradition of authoritarianism took over and the movement continued as a ""revolution from above."" The people accepted the leadership of the West Germany political parties without ever achieving true communication. This social psychological situation was experienced as traumatic and gave rise to a widespread feeling of paralysis paired with anxiety and fear.",Affiliation not found,[]
"Scheye, Eric. ""Psychological Notes on Central Europe 1989 and beyond"". Political Psychology 12, no. 2 (1991)",Interviews conducted in Central Europe in the summer and fall of 1990 suggest that many Central European citizens experienced pre-1989 Soviet-Communist hegemony in terms of a true/private versus a false/public self split. The Central European self was split along three distinct and separate dimensions: (1) national-international; (2) civil society-government; (3) intrapsychically. An examination of the Central European psychic structure may be helpful in analyzing future political developments in the region.,City University of New York,[]
"Sears, David O., Carolyn L. Funk. ""Graduate Education in Political Psychology"". Political Psychology 12, no. 2 (1991)","Data are presented from a survey of graduate courses and graduate training programs in political psychology in the United States and Canada. Courses labeled ""political psychology"" are of relatively recent vintage and are offered most often in political science departments. They generally do not cover the entire field, but focus on one of three major areas: mass political behavior, personality and politics, or the psychology of international relations. Most major political science departments now offer courses in political psychology, though a critical mass of faculty exists in only about 14 universities. Seven formalized doctoral training programs exist with multiple courses and faculty, most quite recent in origin and most are distinctly interdisciplinary. Doctoral studies in political science or psychology can specialize in political psychology, but no free-standing interdisciplinary degree programs currently exist.","University of California, Los Angeles",['University of California']
"Krampen, Gunter. ""Political Participation in an Action-Theory Model of Personality: Theory and Empirical Evidence"". Political Psychology 12, no. 1 (1991)","The application of an action-theory model of personality (AMP) to analyses of political participation is presented theoretically as well as empirically. AMP establishes missing links between action theory (especially expectancy-value theories) and selected personality variables (self-concept of own competence, control orientations, trust, subjective knowledge, and value orientations), which have proved to be significant in the prediction of political activity. Thus, AMP integrates (a) situation- and action-specific expectancy-value (i.e., ""situational"") approaches and (b) personality (i.e., ""traitist"") approaches to political participation. With reference to person-situation interactions, it is postulated in AMP, that the predictive value of situation-specific person variables and that of more or less generalized personality variables is a function of the quality of the cognitive structuring of the action situation under question (i.e., the political life situation). With reference to data from 100 West German young adults, empirical evidence is presented for the deduced hypotheses (1) that conventional political participation is predicted best by situation- and action-specific variables and (2) that the exposed political participation of political activists can be predicted best by situation-/action-specific motivational variables and that of political non-activists can be predicted best by domain-specific personality variables.",Affiliation not found,[]
"Rasinski, Kenneth A., Roger Tourangeau. ""Psychological Aspects of Judgments about the Economy"". Political Psychology 12, no. 1 (1991)","Because of their interest to social scientists, public judgments about the economy are commonly measured in surveys. However, little is known about the effects of the measurement process on these judgments. We conducted two survey-based experiments designed to examine this issue. Based on recent theories of the psychology of the survey response, we examined whether judgments about the national economy would be influenced by survey context, especially for respondents who lacked strong political beliefs. Results from the first experiment suggested this was the case. When political moderates were induced by prior questions to think about their personal economic circumstances, they tended to personalize their judgments about the national economy. Using recent theory about the psychology of fairness, we examined whether judgments of economic fairness would be affected by survey context when the context suggested values related to fairness. Results from the second experiment suggest that this was also the case. When political liberals were induced by prior questions to think about economic inequalities in America, they tended to judge aspects of the American economic system as unfair; when they were induced to think about equal opportunity and the work ethic, their judgments of the fairness of the economic system were indistinguishable from those of other political groups. Results from both surveys indicate that social scientists should consider the survey measurement process from a psychological perspective, in terms of both cognitive processes and individual differences, when constructing surveys. In particular, items which solicit general judgments, or judgments linked to basic values, may be particularly influenced by the complicated interaction between three factors: measurement, cognition, and predispositions.",University of Chicago,[]
"Snippenburg, Leo B. Van, Peer Scheepers. ""Social Class and Political Behavior during a Period of Economic Stagnation: Apathy and Radicalism in the Netherlands, 1985"". Political Psychology 12, no. 1 (1991)","Increased apathy (i.e., retreat from politics), instead of massive political protest among the classes that were hit most severely by the recent economic stagnation and ensuing retrenchment policies, is a neglected phenomenon in Dutch social research. In this article we theorize on this phenomenon. We formulate a model to explain political apathy among lower-class people in the Netherlands during the mid-80s. We also speculate on and formulate an explanatory model on the motives of those who, during this period, were still inclined toward political behavior, notably toward radical political activities. The models are tested with data gathered in the Netherlands in 1985. The results of the analyses indicate that being a member of a deprived class increases the likelihood of being more anomic. In turn, anomie brings about political apathy. On the other hand, education decreases political apathy. The analyses further suggest that persons who give priority to so-called postmaterialistic values are more prone to radical political behavior than others. This effect appears to be stronger to the extent that they have less confidence in policies.",Affiliation not found,[]
"Feldman, Ofer, Kazuhisa Kawakami. ""Media Use as Predictors of Political Behavior: The Case of Japan"". Political Psychology 12, no. 1 (1991)","This paper attempts to observe media effects on the political knowledge, behavior, and interest of the Japanese younger generation. Employing a sample collected from more than 1100 students in four universities in Japan, the discussion focuses on measuring exposure, attention to and reliance on newspaper and television separately; this enables analysis of certain associations related to specific media in comparison to others regarding political cognition and interest. The findings show that, more than television variables, attention and exposure to print media are the strongest predictors of knowledge, behavior, and interest among Japanese students.",Ibaraki University,['Tokai University']
